id,shapeID,shapeGroup,shapeName,intersection_ratio,even_split_ratio,intersection_ratio_commitment_value,even_split_ratio_commitment_value,centroid_longitude,centroid_latitude
61781,37992800B90014860566901,KHM,Tbong Khmum,0.18,0.18,7867645.11,4085689.4990909095,105.89091787465854,11.933887364041516
61781,37992800B18682012537966,KHM,Pursat,0.0,0.0,11420.06,4085689.4990909095,103.63721195220246,12.371932303642085
61781,37992800B46036584412355,KHM,Kampong Speu,0.25,0.25,11107211.97,4085689.4990909095,104.29259044093132,11.536152424815365
61781,37992800B528078583451,KHM,Svay Rieng,0.1,0.1,4568595.24,4085689.4990909095,105.86510402345056,11.153041411706932
61781,63759600B24834630697040,VNM,Tây Ninh,0.0,0.0,7804.5,4085689.4990909095,106.1756014015415,11.39399873232165
61784,37992800B83627159640807,KHM,Phnom Penh,0.04,0.04,37747649.07,175276079.52,104.86483422636606,11.561507597941345
61784,37992800B57023840568534,KHM,Kandal,0.05,0.05,41419987.35,175276079.52,105.0182459497186,11.423555503235097
61784,37992800B19862510189861,KHM,Koh Kong,0.01,0.01,8068671.42,175276079.52,103.41588187367827,11.516141913696977
61784,37992800B46036584412355,KHM,Kampong Speu,0.43,0.43,380906852.46,175276079.52,104.29259044093132,11.536152424815365
61784,37992800B97964954759505,KHM,Preah Sihanouk,0.47,0.47,408237237.3,175276079.52,103.81438336326443,10.874341671286018
61797,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,10128694.9,10128694.9,104.86483422636606,11.561507597941345
62126,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,20073676.64,20073676.64,104.86483422636606,11.561507597941345
62321,37992800B83627159640807,KHM,Phnom Penh,0.96,0.96,109924149.19,56978751.2,104.86483422636606,11.561507597941345
62321,37992800B57023840568534,KHM,Kandal,0.04,0.04,4033353.21,56978751.2,105.0182459497186,11.423555503235097
62326,37992800B83627159640807,KHM,Phnom Penh,0.0,0.0,847.42,528797.54,104.86483422636606,11.561507597941345
62326,37992800B59838984331544,KHM,Kampong Thom,0.0,0.0,1034.66,528797.54,105.04788430680355,12.824420451757593
62326,37992800B57023840568534,KHM,Kandal,0.02,0.02,183127.29,528797.54,105.0182459497186,11.423555503235097
62326,37992800B66153290508063,KHM,Kampong Chhnang,0.04,0.04,306681.82,528797.54,104.55842050621244,12.168579337675359
62326,37992800B62393256715912,KHM,Kampong Cham,0.03,0.03,258744.49,528797.54,105.27248930685768,12.126383394917431
62326,37992800B82444097829687,KHM,Kratie,0.08,0.08,683693.55,528797.54,106.16912619819603,12.629129188242059
62326,37992800B19862510189861,KHM,Koh Kong,0.07,0.07,618330.89,528797.54,103.41588187367827,11.516141913696977
62326,37992800B18682012537966,KHM,Pursat,0.08,0.08,714630.81,528797.54,103.63721195220246,12.371932303642085
