shapeID_adm1,shapeName_adm1,shapeID_adm2,shapeName_adm2,intersection_ratio,shapeGroup
70912109B12169979015230,Punjab,60131773B1682888309057,Bahawalpur,0.9999999999999998,PAK
19177384B97722443848736,Buenos Aires,61730980B99393843695309,San Nicolás,0.9999999999999998,ARG
11314189B92184841279532,Atlanique,17685819B70132266072899,Tori-Bossito,0.9999999999999998,BEN
11314189B6086502013331,Borgou,17685819B32176770628240,Parakou,0.9999999999999998,BEN
56671855B25509761429038,Republika Srpska,47562260B85854569562017,Istočno Novo Sarajevo,0.9999999999999998,BIH
27540722B10144800929043,Analamanga,10022922B36895306051586,5e Arrondissement,0.9999999999999998,MDG
11528761B95441286388390,Kingston,35162164B35990184487288,Kingston Gardens,0.9999999999999998,JAM
87150794B58281898249288,Tahoua/Agadez,23599985B91742674817727,Ingall,0.9999999999999998,NER
15666254B50935235229272,Sabah,92858781B15741059593966,Keningau,0.9999999999999998,MYS
15666254B8535925993004,Sarawak,92858781B97238976532983,Samarahan,0.9999999999999998,MYS
70912109B8393927546319,Sindh,60131773B59402591516435,Mirpurkhas,0.9999999999999998,PAK
22928101B42888996593599,Sofia,11073933B42048972389032,Gorna Malina,0.9999999999999998,BGR
58226515B30741484985331,Nuevo LeÃ³n,50627088B99377367762424,Monterrey,0.9999999999999998,MEX
64602211B71428746643775,Nouakchott,47542326B20684442825570,Dar Naim,0.9999999999999998,MRT
56671855B11597527811889,Entity Federation of Bosnia and Herzegovina,47562260B56888154582394,Vogošća,0.9999999999999998,BIH
87150794B5839560144768,Maradi,23599985B96333695472040,Maradi,0.9999999999999998,NER
86620642B33888251991816,South Darfur,16777658B27261158380636,Nyala Janoub,0.9999999999999998,SDN
14279143B22317554045022,Khovd,93677404B19560479814297,Manxan,0.9999999999999998,MNG
31783359B41032705110141,Savannakhet,54806243B41596268770013,Atsaphangthong,0.9999999999999998,LAO
19177384B61792957744675,Santiago del Estero,61730980B28367878314015,General Taboada,0.9999999999999998,ARG
28173009B78872068540735,Irkutsk Oblast,50074027B16590534350990,городской округ Иркутск,0.9999999999999998,RUS
28173009B90356867269748,Volgograd Oblast,50074027B61241799946425,Volgograd,0.9999999999999998,RUS
43142294B54486011126442,Constantine,75749346B43163128353121,Daïra Constantine,0.9999999999999998,DZA
31783359B28405124024719,Xiangkhouang,54806243B64426060368946,Pek,0.9999999999999998,LAO
1811400B23625213884851,Delhi,76128533B19832024635761,Central,0.9999999999999998,IND
87150794B17606801029036,Zinder/Diffa,23599985B93207740600063,Mirriah,0.9999999999999998,NER
