tuff_id,clean_link,osm_type,osm_id,unique_id
73914,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=-13.73885%2C15.06197%3B-14.82532%2C14.54594,directions,,409
73914,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=-13.7388%2C15.0620%3B-14.7383%2C15.0289,directions,,410
67333,https://www.openstreetmap.org/way/150637890,way,150637890,411
67414,https://www.openstreetmap.org/node/4107364764,node,4107364764,412
67414,https://www.openstreetmap.org/way/50563173,way,50563173,413
67414,https://www.openstreetmap.org/relation/2148314,relation,2148314,414
67414,https://www.openstreetmap.org/way/226831624,way,226831624,415
73684,https://www.openstreetmap.org/relation/10693409,relation,10693409,416
73684,https://www.openstreetmap.org/way/679039005,way,679039005,417
73684,https://www.openstreetmap.org/way/663579775,way,663579775,418
73684,https://www.openstreetmap.org/way/527873224,way,527873224,419
73684,https://www.openstreetmap.org/relation/10693130,relation,10693130,420
73684,https://www.openstreetmap.org/way/704019466,way,704019466,421
73905,https://www.openstreetmap.org/relation/11704223,relation,11704223,422
73906,https://www.openstreetmap.org/way/616609143,way,616609143,423
